hostname,executable,timestamp,cmd_args,PCD_filename,Range Image,NARF keyp. detection,detected keyp.,NARF keyp. extraction,extracted keyp.,Total comp. time,desc. filename,keypoints filename
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:30:43.292557901 UTC,../../files/20231210_hofficecpt_2_filtered.pcd -r 0.9 -s 0.2f -min 0.2f -v -m ,../../files/20231210_hofficecpt_2_filtered.pcd,184.759 ms,17.2185 ms,69 key points,15.7274 ms,80 key points,217.705 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:30:54.698461949 UTC,../../files/20231210_hofficecpt_2_filtered.pcd -r 0.9 -s 0.5f -min 0.2f -v -m ,../../files/20231210_hofficecpt_2_filtered.pcd,177.532 ms,19.6267 ms,35 key points,19.2344 ms,46 key points,216.393 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:31:14.631751540 UTC,../../files/20231210_hofficecpt_2_filtered.pcd -r 0.5 -s 0.3f -min 0.2f -v -m ,../../files/20231210_hofficecpt_2_filtered.pcd,186.339 ms,44.9799 ms,98 key points,60.2941 ms,109 key points,291.613 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:31:34.758584000 UTC,../../files/20231210_hofficecpt_2_filtered.pcd -r 0.5 -s 1f -min 0.2f -v -m ,../../files/20231210_hofficecpt_2_filtered.pcd,192.784 ms,58.6831 ms,24 key points,140.607 ms,25 key points,392.075 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:31:58.134030565 UTC,../../files/20231210_hofficecpt_2_filtered.pcd -r 0.9 -s 1f -min 0.2f -v -m ,../../files/20231210_hofficecpt_2_filtered.pcd,178.183 ms,22.6713 ms,26 key points,55.9543 ms,30 key points,256.808 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:40:02.894193716 UTC,../../files/test1_filtered.pcd -r 0.9 -s 1f -min 0.2f -v -m ,file not found,ChrisLegion,./02_narf_feature_extraction,12/10/23 14:41:14.352103544 UTC,../../files/test1_filtered.pcd -r 0.9 -s 1f -min 0.2f -v -m ,file not found,ChrisLegion,./02_narf_feature_extraction,12/10/23 14:41:28.908101474 UTC,../../files/test1.pcd_filtered.pcd -r 0.9 -s 1f -min 0.2f -v -m ,../../files/test1.pcd_filtered.pcd,193.399 ms,22.9223 ms,14 key points,37.7086 ms,16 key points,254.03 ms,../../files/feature_desc/test1.pcd_filtered_narf36.pcd,../../files/feature_desc/test1.pcd_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:41:49.357468308 UTC,../../files/test1.pcd_filtered.pcd -r 0.9 -s 0.2f -min 0.2f -v -m ,../../files/test1.pcd_filtered.pcd,190.68 ms,16.8975 ms,38 key points,9.67192 ms,38 key points,217.25 ms,../../files/feature_desc/test1.pcd_filtered_narf36.pcd,../../files/feature_desc/test1.pcd_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:42:01.965931186 UTC,../../files/test1.pcd_filtered.pcd -r 0.9 -s 0.3f -min 0.2f -v -m ,../../files/test1.pcd_filtered.pcd,189.538 ms,18.2138 ms,34 key points,11.3846 ms,37 key points,219.137 ms,../../files/feature_desc/test1.pcd_filtered_narf36.pcd,../../files/feature_desc/test1.pcd_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:42:14.11312594 UTC,../../files/test1.pcd_filtered.pcd -r 0.9 -s 2f -min 0.2f -v -m ,../../files/test1.pcd_filtered.pcd,187.697 ms,23.2392 ms,11 key points,60.982 ms,11 key points,271.918 ms,../../files/feature_desc/test1.pcd_filtered_narf36.pcd,../../files/feature_desc/test1.pcd_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:48:17.772445511 UTC,../../files/test1.pcd_filtered_tf.pcd -r 0.9 -s 0.3f -min 0.2f -v -m ,../../files/test1.pcd_filtered_tf.pcd,5.82111 ms,18.0469 ms,40 key points,14.2977 ms,41 key points,38.1657 ms,../../files/feature_desc/test1.pcd_filtered_tf_narf36.pcd,../../files/feature_desc/test1.pcd_filtered_tf_XYZ.pcd
